모집단위,모집인원,경쟁률,충원인원,대학점수70컷,70컷,영어등급,대학명,수시정시구분,세부전형명,년도,정시모집군,학과정렬번호
IT융합공학과,5,6.00,4,707.0333,93.25,1,연세대학교,정시,일반전형,2024,가군,1
간호학과(인문),20,2.70,1,726.35,91.25,2,연세대학교,정시,일반전형,2024,가군,2
간호학과(자연),16,3.81,9,704.2944,93.5,2,연세대학교,정시,일반전형,2024,가군,3
건축공학과,28,4.25,8,711.0833,94,1,연세대학교,정시,일반전형,2024,가군,4
경영학과,140,4.10,145,731.925,92,1,연세대학교,정시,일반전형,2024,가군,5
경제학부,93,3.57,38,731.8167,91,1,연세대학교,정시,일반전형,2024,가군,6
관현악과,40,6.78,1,163.8,,5,연세대학교,정시,일반전형,2024,가군,7
교육학부,30,3.77,4,724.25,91,2,연세대학교,정시,일반전형,2024,가군,8
교회음악과,17,2.41,1,189.5,,4,연세대학교,정시,일반전형,2024,가군,9
국어국문학과,23,3.48,7,722.9417,91,1,연세대학교,정시,일반전형,2024,가군,10
기계공학부,51,4.00,18,713.3056,94.25,2,연세대학교,정시,일반전형,2024,가군,11
노어노문학과,17,4.47,2,720.6917,89.5,1,연세대학교,정시,일반전형,2024,가군,12
대기과학과,11,5.00,1,708.7278,94,1,연세대학교,정시,일반전형,2024,가군,13
도시공학과,14,16.21,1,711.1111,95,1,연세대학교,정시,일반전형,2024,가군,14
독어독문학과,17,7.24,1,721.5667,90.75,1,연세대학교,정시,일반전형,2024,가군,15
디스플레이융합공학과,7,7.29,9,707.9444,94,1,연세대학교,정시,일반전형,2024,가군,16
문헌정보학과,15,5.27,0,726.275,92.75,1,연세대학교,정시,일반전형,2024,가군,17
문화인류학과,7,5.14,2,724.0667,94.25,1,연세대학교,정시,일반전형,2024,가군,18
물리학과,14,5.64,4,710.6222,93.75,2,연세대학교,정시,일반전형,2024,가군,19
불어불문학과,18,5.39,2,722.0083,91.25,1,연세대학교,정시,일반전형,2024,가군,20
사학과,25,4.92,2,722.1167,91.25,1,연세대학교,정시,일반전형,2024,가군,21
사회복지학과,17,3.12,3,723.1667,91.5,1,연세대학교,정시,일반전형,2024,가군,22
사회학과,19,2.84,3,727.125,91.25,1,연세대학교,정시,일반전형,2024,가군,23
사회환경시스템공학부,29,4.07,3,708.2778,94,2,연세대학교,정시,일반전형,2024,가군,24
산업공학과,17,3.76,9,703.6889,93.5,1,연세대학교,정시,일반전형,2024,가군,25
생명공학과,21,4.33,20,712.8944,95,2,연세대학교,정시,일반전형,2024,가군,26
생화학과,11,5.00,10,711.5611,95,2,연세대학교,정시,일반전형,2024,가군,27
성악과,24,14.25,15,176,,4,연세대학교,정시,일반전형,2024,가군,28
수학과,18,4.33,13,712.0389,93,1,연세대학교,정시,일반전형,2024,가군,29
스포츠응용산업학과,24,5.67,0,591.3221,88,2,연세대학교,정시,일반전형,2024,가군,30
시스템반도체공학과,25,7.52,65,717.7,95,2,연세대학교,정시,일반전형,2024,가군,31
시스템생물학과,12,4.08,4,699.4611,92,2,연세대학교,정시,일반전형,2024,가군,32
식품영양학과(인문),4,10.50,1,730.5667,91.5,1,연세대학교,정시,일반전형,2024,가군,33
