모집단위,모집인원,경쟁률,충원인원,대학점수70컷,70컷,영어등급,대학명,수시정시구분,세부전형명,년도,정시모집군,학과정렬번호
식품영양학과(자연),6,8.33,2,705.9389,94.75,2,연세대학교,정시,일반전형,2024,가군,34
신소재공학부,45,5.31,27,713.9556,94,2,연세대학교,정시,일반전형,2024,가군,35
신학과,26,3.92,5,718.3417,91.5,2,연세대학교,정시,일반전형,2024,가군,36
실내건축학과(인문),6,4.67,1,726.1667,90.25,2,연세대학교,정시,일반전형,2024,가군,37
실내건축학과(자연),7,5.71,3,705.7722,94,2,연세대학교,정시,일반전형,2024,가군,38
심리학과,20,3.55,2,728.3417,90.75,1,연세대학교,정시,일반전형,2024,가군,39
아동·가족학과,10,6.10,2,722.1167,91.5,1,연세대학교,정시,일반전형,2024,가군,40
약학과,17,6.82,41,726.0333,96.25,1,연세대학교,정시,일반전형,2024,가군,41
언더우드학부(인문사회),11,4.82,3,649.6375,92.25,1,연세대학교,정시,일반전형,2024,가군,42
언론홍보영상학부,22,3.59,3,728.9417,93.25,1,연세대학교,정시,일반전형,2024,가군,43
영어영문학과,38,3.89,5,725.15,91.75,1,연세대학교,정시,일반전형,2024,가군,44
융합과학공학부,38,4.55,1,652.255,89.75,1,연세대학교,정시,일반전형,2024,가군,45
융합인문사회과학부,93,5.15,1,646.375,90,1,연세대학교,정시,일반전형,2024,가군,46
응용통계학과,30,4.33,32,737.6167,92.25,1,연세대학교,정시,일반전형,2024,가군,47
의류환경학과(인문),5,3.60,1,708.1083,90.25,2,연세대학교,정시,일반전형,2024,가군,48
의류환경학과(자연),6,4.00,2,706.05,91.75,1,연세대학교,정시,일반전형,2024,가군,49
의예과,47,3.43,12,677.475,99,1,연세대학교,정시,일반전형,2024,가군,50
인공지능학과,16,5.31,9,709.9722,95,1,연세대학교,정시,일반전형,2024,가군,51
작곡과,19,4.68,1,207.5,,3,연세대학교,정시,일반전형,2024,가군,52
전기전자공학부,90,4.56,114,716.4222,95,2,연세대학교,정시,일반전형,2024,가군,53
정치외교학과,44,3.43,7,727.5333,92.5,1,연세대학교,정시,일반전형,2024,가군,54
중어중문학과,17,2.53,4,722.275,90.5,1,연세대학교,정시,일반전형,2024,가군,55
지구시스템과학과,14,4.57,2,706.7222,93.75,1,연세대학교,정시,일반전형,2024,가군,56
천문우주학과,11,5.64,3,707.8444,92.5,1,연세대학교,정시,일반전형,2024,가군,57
철학과,19,2.84,1,724.5083,91,1,연세대학교,정시,일반전형,2024,가군,58
체육교육학과,27,5.26,7,592.3563,87,2,연세대학교,정시,일반전형,2024,가군,59
치의예과,27,5.11,42,736.0833,98.25,1,연세대학교,정시,일반전형,2024,가군,60
컴퓨터과학과,35,6.54,72,708.7167,94.5,2,연세대학교,정시,일반전형,2024,가군,61
통합디자인학과,9,3.56,2,724.7083,89.5,1,연세대학교,정시,일반전형,2024,가군,62
피아노과,20,6.65,1,191.1,,3,연세대학교,정시,일반전형,2024,가군,63
행정학과,39,3.59,6,728.4417,91,1,연세대학교,정시,일반전형,2024,가군,64
화공생명공학부,34,5.12,34,710.6889,94.25,2,연세대학교,정시,일반전형,2024,가군,65
화학과,18,3.78,6,712.0722,95,1,연세대학교,정시,일반전형,2024,가군,66
